მობილური ტელეფონი Samsung Z fold5 512GB,₾4100.00
მობილური ტელეფონი Apple,₾800.00
Google Pixel 7 Pro ყველაზე დაბალ ფასად!!!,₾1099.00
iPhone 12 64Gb ,₾850.00
Iphone 14 Pro 128GB ახალივით! მოყვება 1 წლიანი გარანტია! ,₾2200.00
Iphone 13 Pro  128GB  მოყვება 1 წლიანი გარანტია !,₾1800.00
Iphone 13 128GB  1 წლიანი გარანტიით! ამერიკიდან!,₾1400.00
მობილური ტელეფონი Apple,₾4500.00
"მობილური  apple iPhone 12 , ახალივით",₾980.00
iPhone 14 Pro Max - 128;256;512gb Simfree,₾2799.00
iPhone 14 - Black - 128gb - ახალი!!!,₾1699.00
iPhone 13 - 128gb - ფერებში - აქციაში!,₾1399.00
iPhone 13 Pro - 128;256GB  - A ახალივით!!!,₾1699.00
Samsung Galaxy s21 ultra,₾1080.00
Google Pixel 4 / გუგლ პიქსელი,₾380.00
Google Pixel 4 XL BoX / გუგლ პიქსელ 4 იქსელი ყუთით,₾450.00
Google Pixel 3 XL / გუგლ პიქსელ 3 იქსელი,₾320.00
Google Pixel 4 XL / გუგლ პიქსელ 4 იქსელი,₾450.00
iPhone 13 Pro Green 128Gb იდეალურ მდგომარეობაში,₾1450.00
iPhone 12  64GB A კატეგორია იდეალურები,₾899.00
iPhone 13 128 GB იდეალურები სასაჩუქრე,₾1399.00
iPhone 13 Pro 256GB სასაჩუქრე მდგომარეობებში,₾1849.00
iPhone 11 128GB,₾649.00
iPhone 13 Pro Max 128GB,₾1749.00
iPhone 12 Pro 128GB იდეალურები ,₾1299.00
iPhone 13 Pro 128GB A კატეგორია იდეალურები,₾1649.00
Samsung S23 Ultra  ➡️ განვადებით-გარანტიით!!!,₾2199.00
Google Pixel 8 Pro 128gb ✅ განვადებით-გარანტიით,₾2000.00
